id,event,kickoff_time,team_h,team_a,team_h_score,team_a_score,finished,minutes,provisional_start_time,team_h_name,team_a_name
1,1,2025-08-15T19:00:00Z,12,4,4.0,2.0,True,90,False,LIV,BOU
2,1,2025-08-16T11:30:00Z,2,15,0.0,0.0,True,90,False,AVL,NEW
3,1,2025-08-16T14:00:00Z,6,10,1.0,1.0,True,90,False,BHA,FUL
6,1,2025-08-16T14:00:00Z,18,3,3.0,0.0,True,90,False,TOT,BUR
5,1,2025-08-16T14:00:00Z,17,19,3.0,0.0,True,90,False,SUN,WHU
7,1,2025-08-16T16:30:00Z,20,13,0.0,4.0,True,90,False,WOL,MCI
8,1,2025-08-17T13:00:00Z,7,8,0.0,0.0,True,90,False,CHE,CRY
4,1,2025-08-17T13:00:00Z,16,5,3.0,1.0,True,90,False,NFO,BRE
9,1,2025-08-17T15:30:00Z,14,1,0.0,1.0,True,90,False,MUN,ARS
10,1,2025-08-18T19:00:00Z,11,9,1.0,0.0,True,90,False,LEE,EVE
20,2,2025-08-22T19:00:00Z,19,7,1.0,5.0,True,90,False,WHU,CHE
18,2,2025-08-23T11:30:00Z,13,18,0.0,2.0,True,90,False,MCI,TOT
12,2,2025-08-23T14:00:00Z,4,20,1.0,0.0,True,90,False,BOU,WOL
13,2,2025-08-23T14:00:00Z,5,2,1.0,0.0,True,90,False,BRE,AVL
14,2,2025-08-23T14:00:00Z,3,17,2.0,0.0,True,90,False,BUR,SUN
11,2,2025-08-23T16:30:00Z,1,11,5.0,0.0,True,90,False,ARS,LEE
15,2,2025-08-24T13:00:00Z,8,16,1.0,1.0,True,90,False,CRY,NFO
16,2,2025-08-24T13:00:00Z,9,6,2.0,0.0,True,90,False,EVE,BHA
17,2,2025-08-24T15:30:00Z,10,14,1.0,1.0,True,90,False,FUL,MUN
19,2,2025-08-25T19:00:00Z,15,12,2.0,3.0,True,90,False,NEW,LIV
23,3,2025-08-30T11:30:00Z,7,10,,,False,0,False,CHE,FUL
26,3,2025-08-30T14:00:00Z,14,3,,,False,0,False,MUN,BUR
29,3,2025-08-30T14:00:00Z,18,4,,,False,0,False,TOT,BOU
28,3,2025-08-30T14:00:00Z,17,5,,,False,0,False,SUN,BRE
30,3,2025-08-30T14:00:00Z,20,9,,,False,0,False,WOL,EVE
24,3,2025-08-30T16:30:00Z,11,15,,,False,0,False,LEE,NEW
22,3,2025-08-31T13:00:00Z,6,13,,,False,0,False,BHA,MCI
27,3,2025-08-31T13:00:00Z,16,19,,,False,0,False,NFO,WHU
25,3,2025-08-31T15:30:00Z,12,1,,,False,0,False,LIV,ARS
21,3,2025-08-31T18:00:00Z,2,8,,,False,0,False,AVL,CRY
31,4,2025-09-13T11:30:00Z,1,16,,,False,0,False,ARS,NFO
32,4,2025-09-13T14:00:00Z,4,6,,,False,0,False,BOU,BHA
35,4,2025-09-13T14:00:00Z,8,17,,,False,0,False,CRY,SUN
36,4,2025-09-13T14:00:00Z,9,2,,,False,0,False,EVE,AVL
37,4,2025-09-13T14:00:00Z,10,11,,,False,0,False,FUL,LEE
39,4,2025-09-13T14:00:00Z,15,20,,,False,0,False,NEW,WOL
40,4,2025-09-13T16:30:00Z,19,18,,,False,0,False,WHU,TOT
33,4,2025-09-13T19:00:00Z,5,7,,,False,0,False,BRE,CHE
34,4,2025-09-14T13:00:00Z,3,12,,,False,0,False,BUR,LIV
38,4,2025-09-14T15:30:00Z,13,14,,,False,0,False,MCI,MUN
46,5,2025-09-20T11:30:00Z,12,9,,,False,0,False,LIV,EVE
42,5,2025-09-20T14:00:00Z,4,15,,,False,0,False,BOU,NEW
43,5,2025-09-20T14:00:00Z,6,18,,,False,0,False,BHA,TOT
44,5,2025-09-20T14:00:00Z,3,16,,,False,0,False,BUR,NFO
49,5,2025-09-20T14:00:00Z,19,8,,,False,0,False,WHU,CRY
50,5,2025-09-20T14:00:00Z,20,11,,,False,0,False,WOL,LEE
47,5,2025-09-20T16:30:00Z,14,7,,,False,0,False,MUN,CHE
45,5,2025-09-20T19:00:00Z,10,5,,,False,0,False,FUL,BRE
48,5,2025-09-21T13:00:00Z,17,2,,,False,0,False,SUN,AVL
41,5,2025-09-21T15:30:00Z,1,13,,,False,0,False,ARS,MCI
52,6,2025-09-27T11:30:00Z,5,14,,,False,0,False,BRE,MUN
51,6,2025-09-27T14:00:00Z,2,10,,,False,0,False,AVL,FUL
53,6,2025-09-27T14:00:00Z,7,6,,,False,0,False,CHE,BHA
54,6,2025-09-27T14:00:00Z,8,12,,,False,0,False,CRY,LIV
56,6,2025-09-27T14:00:00Z,11,4,,,False,0,False,LEE,BOU
57,6,2025-09-27T14:00:00Z,13,3,,,False,0,False,MCI,BUR
59,6,2025-09-27T16:30:00Z,16,17,,,False,0,False,NFO,SUN
60,6,2025-09-28T13:00:00Z,18,20,,,False,0,False,TOT,WOL
58,6,2025-09-28T15:30:00Z,15,1,,,False,0,False,NEW,ARS
55,6,2025-09-29T19:00:00Z,9,19,,,False,0,False,EVE,WHU
63,7,2025-10-03T19:00:00Z,4,10,,,False,0,False,BOU,FUL
67,7,2025-10-04T11:30:00Z,11,18,,,False,0,False,LEE,TOT
61,7,2025-10-04T14:00:00Z,1,19,,,False,0,False,ARS,WHU
66,7,2025-10-04T14:00:00Z,9,8,,,False,0,False,EVE,CRY
68,7,2025-10-04T14:00:00Z,14,17,,,False,0,False,MUN,SUN
65,7,2025-10-04T16:30:00Z,7,12,,,False,0,False,CHE,LIV
62,7,2025-10-05T13:00:00Z,2,3,,,False,0,False,AVL,BUR
69,7,2025-10-05T13:00:00Z,15,16,,,False,0,False,NEW,NFO
70,7,2025-10-05T13:00:00Z,20,6,,,False,0,False,WOL,BHA
64,7,2025-10-05T15:30:00Z,5,13,,,False,0,False,BRE,MCI
77,8,2025-10-18T11:30:00Z,16,7,,,False,0,False,NFO,CHE
71,8,2025-10-18T14:00:00Z,6,15,,,False,0,False,BHA,NEW
72,8,2025-10-18T14:00:00Z,3,11,,,False,0,False,BUR,LEE
73,8,2025-10-18T14:00:00Z,8,4,,,False,0,False,CRY,BOU
76,8,2025-10-18T14:00:00Z,13,9,,,False,0,False,MCI,EVE
78,8,2025-10-18T14:00:00Z,17,20,,,False,0,False,SUN,WOL
74,8,2025-10-18T16:30:00Z,10,1,,,False,0,False,FUL,ARS
79,8,2025-10-19T13:00:00Z,18,2,,,False,0,False,TOT,AVL
75,8,2025-10-19T15:30:00Z,12,14,,,False,0,False,LIV,MUN
80,8,2025-10-20T19:00:00Z,19,5,,,False,0,False,WHU,BRE
87,9,2025-10-24T19:00:00Z,11,19,,,False,0,False,LEE,WHU
84,9,2025-10-25T11:30:00Z,5,12,,,False,0,False,BRE,LIV
81,9,2025-10-25T14:00:00Z,1,8,,,False,0,False,ARS,CRY
85,9,2025-10-25T14:00:00Z,7,17,,,False,0,False,CHE,SUN
89,9,2025-10-25T14:00:00Z,15,10,,,False,0,False,NEW,FUL
88,9,2025-10-25T16:30:00Z,14,6,,,False,0,False,MUN,BHA
82,9,2025-10-26T14:00:00Z,2,13,,,False,0,False,AVL,MCI
83,9,2025-10-26T14:00:00Z,4,16,,,False,0,False,BOU,NFO
90,9,2025-10-26T14:00:00Z,20,3,,,False,0,False,WOL,BUR
86,9,2025-10-26T16:30:00Z,9,18,,,False,0,False,EVE,TOT
91,10,2025-11-01T15:00:00Z,6,11,,,False,0,False,BHA,LEE
92,10,2025-11-01T15:00:00Z,3,1,,,False,0,False,BUR,ARS
93,10,2025-11-01T15:00:00Z,8,5,,,False,0,False,CRY,BRE
94,10,2025-11-01T15:00:00Z,10,20,,,False,0,False,FUL,WOL
95,10,2025-11-01T15:00:00Z,12,2,,,False,0,False,LIV,AVL
96,10,2025-11-01T15:00:00Z,13,4,,,False,0,False,MCI,BOU
97,10,2025-11-01T15:00:00Z,16,14,,,False,0,False,NFO,MUN
99,10,2025-11-01T15:00:00Z,18,7,,,False,0,False,TOT,CHE
98,10,2025-11-01T15:00:00Z,17,9,,,False,0,False,SUN,EVE
100,10,2025-11-01T15:00:00Z,19,15,,,False,0,False,WHU,NEW
101,11,2025-11-08T15:00:00Z,2,4,,,False,0,False,AVL,BOU
102,11,2025-11-08T15:00:00Z,5,15,,,False,0,False,BRE,NEW
103,11,2025-11-08T15:00:00Z,7,20,,,False,0,False,CHE,WOL
104,11,2025-11-08T15:00:00Z,8,6,,,False,0,False,CRY,BHA
105,11,2025-11-08T15:00:00Z,9,10,,,False,0,False,EVE,FUL
106,11,2025-11-08T15:00:00Z,13,12,,,False,0,False,MCI,LIV
107,11,2025-11-08T15:00:00Z,16,11,,,False,0,False,NFO,LEE
109,11,2025-11-08T15:00:00Z,18,14,,,False,0,False,TOT,MUN
108,11,2025-11-08T15:00:00Z,17,1,,,False,0,False,SUN,ARS
110,11,2025-11-08T15:00:00Z,19,3,,,False,0,False,WHU,BUR
111,12,2025-11-22T15:00:00Z,1,18,,,False,0,False,ARS,TOT
112,12,2025-11-22T15:00:00Z,4,19,,,False,0,False,BOU,WHU
113,12,2025-11-22T15:00:00Z,6,5,,,False,0,False,BHA,BRE
114,12,2025-11-22T15:00:00Z,3,7,,,False,0,False,BUR,CHE
115,12,2025-11-22T15:00:00Z,10,17,,,False,0,False,FUL,SUN
116,12,2025-11-22T15:00:00Z,11,2,,,False,0,False,LEE,AVL
117,12,2025-11-22T15:00:00Z,12,16,,,False,0,False,LIV,NFO
118,12,2025-11-22T15:00:00Z,14,9,,,False,0,False,MUN,EVE
119,12,2025-11-22T15:00:00Z,15,13,,,False,0,False,NEW,MCI
120,12,2025-11-22T15:00:00Z,20,8,,,False,0,False,WOL,CRY
121,13,2025-11-29T15:00:00Z,2,20,,,False,0,False,AVL,WOL
122,13,2025-11-29T15:00:00Z,5,3,,,False,0,False,BRE,BUR
123,13,2025-11-29T15:00:00Z,7,1,,,False,0,False,CHE,ARS
124,13,2025-11-29T15:00:00Z,8,14,,,False,0,False,CRY,MUN
125,13,2025-11-29T15:00:00Z,9,15,,,False,0,False,EVE,NEW
126,13,2025-11-29T15:00:00Z,13,11,,,False,0,False,MCI,LEE
127,13,2025-11-29T15:00:00Z,16,6,,,False,0,False,NFO,BHA
129,13,2025-11-29T15:00:00Z,18,10,,,False,0,False,TOT,FUL
128,13,2025-11-29T15:00:00Z,17,4,,,False,0,False,SUN,BOU
130,13,2025-11-29T15:00:00Z,19,12,,,False,0,False,WHU,LIV
131,14,2025-12-03T20:00:00Z,1,5,,,False,0,False,ARS,BRE
132,14,2025-12-03T20:00:00Z,4,9,,,False,0,False,BOU,EVE
133,14,2025-12-03T20:00:00Z,6,2,,,False,0,False,BHA,AVL
134,14,2025-12-03T20:00:00Z,3,8,,,False,0,False,BUR,CRY
135,14,2025-12-03T20:00:00Z,10,13,,,False,0,False,FUL,MCI
136,14,2025-12-03T20:00:00Z,11,7,,,False,0,False,LEE,CHE
137,14,2025-12-03T20:00:00Z,12,17,,,False,0,False,LIV,SUN
138,14,2025-12-03T20:00:00Z,14,19,,,False,0,False,MUN,WHU
139,14,2025-12-03T20:00:00Z,15,18,,,False,0,False,NEW,TOT
140,14,2025-12-03T20:00:00Z,20,16,,,False,0,False,WOL,NFO
141,15,2025-12-06T15:00:00Z,2,1,,,False,0,False,AVL,ARS
142,15,2025-12-06T15:00:00Z,4,7,,,False,0,False,BOU,CHE
143,15,2025-12-06T15:00:00Z,6,19,,,False,0,False,BHA,WHU
144,15,2025-12-06T15:00:00Z,9,16,,,False,0,False,EVE,NFO
145,15,2025-12-06T15:00:00Z,10,8,,,False,0,False,FUL,CRY
146,15,2025-12-06T15:00:00Z,11,12,,,False,0,False,LEE,LIV
147,15,2025-12-06T15:00:00Z,13,17,,,False,0,False,MCI,SUN
148,15,2025-12-06T15:00:00Z,15,3,,,False,0,False,NEW,BUR
149,15,2025-12-06T15:00:00Z,18,5,,,False,0,False,TOT,BRE
150,15,2025-12-06T15:00:00Z,20,14,,,False,0,False,WOL,MUN
151,16,2025-12-13T15:00:00Z,1,20,,,False,0,False,ARS,WOL
152,16,2025-12-13T15:00:00Z,5,11,,,False,0,False,BRE,LEE
153,16,2025-12-13T15:00:00Z,3,10,,,False,0,False,BUR,FUL
154,16,2025-12-13T15:00:00Z,7,9,,,False,0,False,CHE,EVE
155,16,2025-12-13T15:00:00Z,8,13,,,False,0,False,CRY,MCI
156,16,2025-12-13T15:00:00Z,12,6,,,False,0,False,LIV,BHA
157,16,2025-12-13T15:00:00Z,14,4,,,False,0,False,MUN,BOU
158,16,2025-12-13T15:00:00Z,16,18,,,False,0,False,NFO,TOT
159,16,2025-12-13T15:00:00Z,17,15,,,False,0,False,SUN,NEW
160,16,2025-12-13T15:00:00Z,19,2,,,False,0,False,WHU,AVL
161,17,2025-12-20T15:00:00Z,2,14,,,False,0,False,AVL,MUN
162,17,2025-12-20T15:00:00Z,4,3,,,False,0,False,BOU,BUR
163,17,2025-12-20T15:00:00Z,6,17,,,False,0,False,BHA,SUN
164,17,2025-12-20T15:00:00Z,9,1,,,False,0,False,EVE,ARS
165,17,2025-12-20T15:00:00Z,10,16,,,False,0,False,FUL,NFO
166,17,2025-12-20T15:00:00Z,11,8,,,False,0,False,LEE,CRY
167,17,2025-12-20T15:00:00Z,13,19,,,False,0,False,MCI,WHU
168,17,2025-12-20T15:00:00Z,15,7,,,False,0,False,NEW,CHE
169,17,2025-12-20T15:00:00Z,18,12,,,False,0,False,TOT,LIV
170,17,2025-12-20T15:00:00Z,20,5,,,False,0,False,WOL,BRE
171,18,2025-12-27T15:00:00Z,1,6,,,False,0,False,ARS,BHA
172,18,2025-12-27T15:00:00Z,5,4,,,False,0,False,BRE,BOU
173,18,2025-12-27T15:00:00Z,3,9,,,False,0,False,BUR,EVE
174,18,2025-12-27T15:00:00Z,7,2,,,False,0,False,CHE,AVL
175,18,2025-12-27T15:00:00Z,8,18,,,False,0,False,CRY,TOT
176,18,2025-12-27T15:00:00Z,12,20,,,False,0,False,LIV,WOL
177,18,2025-12-27T15:00:00Z,14,15,,,False,0,False,MUN,NEW
178,18,2025-12-27T15:00:00Z,16,13,,,False,0,False,NFO,MCI
179,18,2025-12-27T15:00:00Z,17,11,,,False,0,False,SUN,LEE
180,18,2025-12-27T15:00:00Z,19,10,,,False,0,False,WHU,FUL
181,19,2025-12-30T20:00:00Z,1,2,,,False,0,False,ARS,AVL
182,19,2025-12-30T20:00:00Z,5,18,,,False,0,False,BRE,TOT
183,19,2025-12-30T20:00:00Z,3,15,,,False,0,False,BUR,NEW
184,19,2025-12-30T20:00:00Z,7,4,,,False,0,False,CHE,BOU
185,19,2025-12-30T20:00:00Z,8,10,,,False,0,False,CRY,FUL
186,19,2025-12-30T20:00:00Z,12,11,,,False,0,False,LIV,LEE
187,19,2025-12-30T20:00:00Z,14,20,,,False,0,False,MUN,WOL
188,19,2025-12-30T20:00:00Z,16,9,,,False,0,False,NFO,EVE
189,19,2025-12-30T20:00:00Z,17,13,,,False,0,False,SUN,MCI
