gw,fixture,kickoff_time,player_id,web_name,first_name,second_name,position,team,team_name,team_short,is_home,opponent_team,opponent_name,opponent_short,team_h,team_h_score,team_a,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus
2,11,2025-08-23T16:30:00Z,1,Raya,David,Raya Martín,GK,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,90,,,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,GK,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,3,Hein,Karl,Hein,GK,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,4,Setford,Tommy,Setford,GK,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,5,Gabriel,Gabriel,dos Santos Magalhães,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,90,,,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,6,Saliba,William,Saliba,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,90,,,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,7,Calafiori,Riccardo,Calafiori,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,63,,2.0,1.0,,,,,,,,1.0
2,11,2025-08-23T16:30:00Z,8,J.Timber,Jurriën,Timber,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,63,2.0,1.0,1.0,,,,,,,,3.0
2,11,2025-08-23T16:30:00Z,9,Kiwior,Jakub,Kiwior,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,10,Lewis-Skelly,Myles,Lewis-Skelly,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,26,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,11,White,Benjamin,White,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,12,Zinchenko,Oleksandr,Zinchenko,DEF,16,Nott'm Forest,NFO,False,1,Arsenal,ARS,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,13,Clarke,Brayden,Clarke,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,14,Kacurri,Maldini,Kacurri,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,15,Nichols,Josh,Nichols,DEF,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,16,Saka,Bukayo,Saka,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,52,1.0,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,17,Ødegaard,Martin,Ødegaard,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,37,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,18,Madueke,Noni,Madueke,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,63,,,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,19,Martinelli,Gabriel,Martinelli Silva,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,20,Trossard,Leandro,Trossard,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,37,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,21,Rice,Declan,Rice,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,90,,1.0,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,22,Merino,Mikel,Merino Zazón,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,23,Fábio Vieira,Fábio,Ferreira Vieira,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,24,Nørgaard,Christian,Nørgaard,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,25,Nwaneri,Ethan,Nwaneri,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,52,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,26,Zubimendi,Martín,Zubimendi Ibáñez,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,90,,,1.0,,,,,,,,
2,11,2025-08-23T16:30:00Z,27,Nelson,Reiss,Nelson,MID,5,Brentford,BRE,False,1,Arsenal,ARS,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,28,Kabia,Ismeal,Kabia,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,29,Sambi,Albert,Sambi Lokonga,MID,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,30,Havertz,Kai,Havertz,FWD,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,11,2025-08-23T16:30:00Z,31,G.Jesus,Gabriel,Fernando de Jesus,FWD,1,Arsenal,ARS,True,11,Leeds,LEE,1,5,11,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,32,Martinez,Emiliano,Martínez Romero,GK,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,33,M.Bizot,Marco,Bizot,GK,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,34,Gauci,Joe,Gauci,GK,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,35,Marschall,Filip,Marschall,GK,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,36,Cash,Matty,Cash,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,37,Digne,Lucas,Digne,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,63,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,38,Konsa,Ezri,Konsa Ngoyo,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,39,Maatsen,Ian,Maatsen,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,26,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,40,Mings,Tyrone,Mings,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,41,Pau,Pau,Torres,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,42,A.García,Andrés,García,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,43,Alex Moreno,Álex,Moreno Lopera,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,44,Bogarde,Lamare,Bogarde,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,16,,,,,,,,,1.0,,
2,13,2025-08-23T14:00:00Z,45,Sousa,Lino,da Cruz Sousa,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,46,Yasin,Yasin,Özcan,DEF,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,47,Rogers,Morgan,Rogers,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,48,Tielemans,Youri,Tielemans,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,49,Bailey,Leon,Bailey,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,50,Buendía,Emiliano,Buendía Stati,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,58,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,51,Iling Jr,Samuel,Iling-Junior,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,19,2025-08-25T19:00:00Z,52,J.Ramsey,Jacob,Ramsey,MID,15,Newcastle,NEW,True,12,Liverpool,LIV,15,2,12,3,14,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,53,Malen,Donyell,Malen,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,26,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,54,McGinn,John,McGinn,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,73,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,55,Barkley,Ross,Barkley,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,56,Barrenechea,Enzo,Barrenechea,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,57,Dobbin,Lewis,Dobbin,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,58,Kamara,Boubacar,Kamara,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,15,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,59,Onana,Amadou,Onana,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,63,,,,,,,,,1.0,,
2,13,2025-08-23T14:00:00Z,60,Broggio,Ben,Broggio,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,61,Dendoncker,Leander,Dendoncker,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,63,Young,Kadan,Young,MID,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,64,Watkins,Ollie,Watkins,FWD,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,65,Redmond,Zépiqueno,Redmond,FWD,2,Aston Villa,AVL,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,66,Neto,Norberto,Murara Neto,GK,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,67,Petrović,Đorđe,Petrović,GK,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,90,,,1.0,,,,,,,,
2,12,2025-08-23T14:00:00Z,68,Dennis,Will,Dennis,GK,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,69,McKenna,Callan,McKenna,GK,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,70,Paulsen,Alex,Paulsen,GK,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,71,Zabarnyi,Illia,Zabarnyi,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,72,Senesi,Marcos,Senesi Barón,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,90,,,1.0,,,,,,,,1.0
2,12,2025-08-23T14:00:00Z,73,Smith,Adam,Smith,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,90,,,1.0,,,,,,,,
2,12,2025-08-23T14:00:00Z,74,Truffert,Adrien,Truffert,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,90,,,1.0,,,,,,,,
2,12,2025-08-23T14:00:00Z,75,Akinmboni,Matai,Akinmboni,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,76,Bevan,Owen,Bevan,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,77,Hill,James,Hill,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,2,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,78,J.Araujo,Julián,Araujo Zúñiga,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,79,Mepham,Chris,Mepham,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,80,Soler,Julio,Soler Barreto,DEF,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,81,Kluivert,Justin,Kluivert,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,12,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,82,Semenyo,Antoine,Semenyo,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,90,,1.0,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,83,O.Dango,Dango,Ouattara,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,83,1.0,,1.0,,,,,,,,3.0
2,12,2025-08-23T14:00:00Z,84,Tavernier,Marcus,Tavernier,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,77,1.0,,1.0,,,,,,,,3.0
2,12,2025-08-23T14:00:00Z,85,Adams,Tyler,Adams,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,87,,,1.0,,,,,,1.0,,
2,12,2025-08-23T14:00:00Z,86,Brooks,David,Brooks,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,66,,,1.0,,,,,,,,
2,12,2025-08-23T14:00:00Z,87,Christie,Ryan,Christie,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,24,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,88,Cook,Lewis,Cook,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,89,Philip,Philip,Billing,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,90,Scott,Alex,Scott,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,65,,,1.0,,,,,,1.0,,
2,12,2025-08-23T14:00:00Z,91,Sinisterra,Luis,Sinisterra Lucumí,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,92,Faivre,Romain,Faivre,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,93,H.Traorè,Hamed,Traorè,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,94,Sadi,Dominic,Sadi,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,95,Silcott-Duberry,Zain,Silcott-Duberry,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,96,Winterburn,Ben,Winterburn,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,97,Evanilson,Francisco Evanilson,de Lima Barbosa,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,87,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,98,Enes Ünal,Enes,Ünal,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,99,Adu-Adjei,Daniel,Adu-Adjei,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,100,Kroupi.Jr,Eli Junior,Kroupi,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,2,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,101,Kelleher,Caoimhín,Kelleher,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,1.0,,
2,13,2025-08-23T14:00:00Z,102,Balcombe,Ellery,Balcombe,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,103,Cox,Matthew,Cox,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,104,Eyestone,Julian,Eyestone,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,105,Valdimarsson,Hákon Rafn,Valdimarsson,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,106,Collins,Nathan,Collins,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,1.0
2,13,2025-08-23T14:00:00Z,107,Lewis-Potter,Keane,Lewis-Potter,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,108,Ajer,Kristoffer,Ajer,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,5,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,109,Henry,Rico,Henry,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,6,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,110,Kayode,Michael,Kayode,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,84,,,1.0,,,,,,,,2.0
2,13,2025-08-23T14:00:00Z,111,Pinnock,Ethan,Pinnock,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,112,Roerslev,Mads,Roerslev Rasmussen,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,113,Van den Berg,Sepp,van den Berg,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,114,Arthur,Benjamin,Arthur,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,115,Fredrick,Benjamin,Fredrick,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,116,Hickey,Aaron,Hickey,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,11,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,117,Ji-soo,Kim,Ji-soo,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,118,Meghoma,Jayden,Meghoma,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,17,2025-08-24T15:30:00Z,119,Mbeumo,Bryan,Mbeumo,MID,14,Man Utd,MUN,False,10,Fulham,FUL,10,1,14,1,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,120,Schade,Kevin,Schade,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,78,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,121,Damsgaard,Mikkel,Damsgaard,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,122,Milambo,Antoni,Milambo,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,123,Carvalho,Fábio,Freitas Gouveia Carvalho,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,124,Henderson,Jordan,Henderson,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,68,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,125,Janelt,Vitaly,Janelt,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,126,Jensen,Mathias,Jensen,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,11,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,127,Nunes,Gustavo,Nunes Fernandes Gomes,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,128,Onyeka,Frank,Onyeka,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,21,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,129,Yarmoliuk,Yehor,Yarmoliuk,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,78,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,130,Donovan,Romelle,Donovan,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,131,Konak,Yunus Emre,Konak,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,132,Maghoma,Paris,Maghoma,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,133,Peart-Harris,Myles,Peart-Harris,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,134,Trevitt,Ryan,Trevitt,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,135,Wissa,Yoane,Wissa,FWD,15,Newcastle,NEW,False,5,Brentford,BRE,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,136,Thiago,Igor Thiago,Nascimento Rodrigues,FWD,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,137,Morgan,Iwan,Morgan,FWD,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,16,2025-08-24T13:00:00Z,138,Steele,Jason,Steele,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,0,,,,,,,,,,,
2,16,2025-08-24T13:00:00Z,139,Verbruggen,Bart,Verbruggen,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,90,,,,2.0,,,,,,,
2,16,2025-08-24T13:00:00Z,140,McGill,Tom,McGill,GK,6,Brighton,BHA,False,9,Everton,EVE,9,2,6,0,0,,,,,,,,,,,
